,chr,start,end,ATAC,CTCF,REST,EP300,Score_1
0,chr1,11800,12000,U,U,U,U,1.2048703816360726
1,chr1,12000,12200,U,U,U,U,2.0003000490172207
2,chr1,12200,12400,U,U,U,U,15.72464116936792
3,chr1,12400,12600,U,U,U,U,13.994120435666995
4,chr1,12600,12800,U,U,U,U,15.838030991338028
5,chr1,12800,13000,U,U,U,U,9.714238397782077
6,chr1,13000,13200,U,U,U,U,8.30423211649481
7,chr1,13200,13400,U,U,U,U,8.315721240534087
8,chr1,13400,13600,U,U,U,U,9.892914710693564
9,chr1,13600,13800,U,U,U,U,11.30116328911076
10,chr1,13800,14000,U,U,U,U,4.880633537061043
11,chr1,14000,14200,U,U,U,U,3.443231428906165
12,chr1,14200,14400,U,U,U,U,6.811098773143696
13,chr1,14400,14600,U,U,U,U,12.240780455555091
14,chr1,14600,14800,U,U,U,U,18.460641421991006
15,chr1,14800,15000,U,U,U,U,11.027940042641914
16,chr1,15000,15200,U,U,U,U,13.279966500158473
17,chr1,15400,15600,U,U,U,U,4.892755778143077
18,chr1,16000,16200,U,U,U,U,15.339345444179285
19,chr1,16200,16400,U,U,U,U,-1.0310688634406349
20,chr1,16400,16600,U,U,U,U,-4.766618481897394
21,chr1,16800,17000,U,U,U,U,14.372713431995978
22,chr1,17000,17200,U,U,U,U,7.070011089572481
23,chr1,17200,17400,U,U,U,U,6.842573987106041
24,chr1,17400,17600,U,U,U,U,20.758592137172887
25,chr1,17600,17800,U,U,U,U,9.059384895877487
26,chr1,17800,18000,U,U,U,U,22.155669103433308
27,chr1,18000,18200,U,U,U,U,10.021866994421547
28,chr1,18200,18400,U,U,U,U,9.056616724788844
29,chr1,18400,18600,U,U,U,U,12.188768511527286
30,chr1,18600,18800,U,U,U,U,6.146015186983666
31,chr1,19600,19800,U,U,U,U,7.407539983052884
32,chr1,21000,21200,U,U,U,U,15.500588030185742
33,chr1,21200,21400,U,U,U,U,8.134160242466438
34,chr1,21400,21600,U,U,U,U,7.4844725555997265
35,chr1,21600,21800,U,U,U,U,19.428845020171348
36,chr1,22200,22400,U,U,U,U,1.9090943720995202
37,chr1,22400,22600,U,U,U,U,3.8483507341832617
38,chr1,22600,22800,U,U,U,U,10.770457706600398
39,chr1,22800,23000,U,U,U,U,5.129034528063538
40,chr1,23400,23600,U,U,U,U,10.294191615349826
41,chr1,23600,23800,U,U,U,U,0.6266794603159631
42,chr1,24600,24800,U,U,U,U,12.727698992223093
43,chr1,24800,25000,U,U,U,U,17.74659246014179
44,chr1,25000,25200,U,U,U,U,7.081533607866845
45,chr1,25200,25400,U,U,U,U,-2.0433509481596843
46,chr1,25400,25600,U,U,U,U,1.6456627593519353
47,chr1,25600,25800,U,U,U,U,-0.6395915276866571
48,chr1,25800,26000,U,U,U,U,-3.835187689765971
49,chr1,26000,26200,U,U,U,U,3.878872683425097
50,chr1,27600,27800,U,U,U,U,-12.53536413979318
51,chr1,28400,28600,U,U,U,U,-12.120005948118612
52,chr1,28600,28800,U,U,U,U,2.1309978101300295
