chr	start	end	ATAC	CTCF	REST	EP300
chr5	18000	18200	U	U	U	U
chr5	18200	18400	U	U	U	U
chr5	18400	18600	U	U	U	U
chr5	19200	19400	U	U	U	U
chr5	19400	19600	U	U	U	U
chr5	19800	20000	U	U	U	U
chr5	20200	20400	U	U	U	U
chr5	20400	20600	U	U	U	U
chr5	20600	20800	U	U	U	U
chr5	21200	21400	U	U	U	U
chr5	21400	21600	U	U	U	U
chr5	21600	21800	U	B	U	U
chr5	21800	22000	U	B	U	U
chr5	22000	22200	U	U	U	U
chr5	22200	22400	U	U	U	U
chr5	24600	24800	U	U	U	U
chr5	24800	25000	U	U	U	U
chr5	25000	25200	U	U	U	U
chr5	25200	25400	U	U	U	U
chr5	26200	26400	U	U	U	U
chr5	26400	26600	U	U	U	U
chr5	29400	29600	U	U	U	U
chr5	29600	29800	U	U	U	U
chr5	29800	30000	U	U	U	U
chr5	30000	30200	U	U	U	U
chr5	30200	30400	U	U	U	U
chr5	33400	33600	U	U	U	U
chr5	33600	33800	U	U	U	U
chr5	36200	36400	U	U	U	U
chr5	37000	37200	U	U	U	U
chr5	37200	37400	U	U	U	U
chr5	37600	37800	U	U	U	U
chr5	37800	38000	U	U	U	U
chr5	38000	38200	U	U	U	U
chr5	38200	38400	U	U	U	U
chr5	38400	38600	U	U	U	U
chr5	39800	40000	U	U	U	U
chr5	40000	40200	U	U	U	U
chr5	40200	40400	U	U	U	U
chr5	40400	40600	U	U	U	U
chr5	40600	40800	U	U	U	U
chr5	41000	41200	U	U	U	U
chr5	41600	41800	U	U	U	U
chr5	41800	42000	U	U	U	U
chr5	42200	42400	B	U	U	U
chr5	42400	42600	B	B	U	U
chr5	42600	42800	B	U	U	U
chr5	45200	45400	U	U	U	U
chr5	45400	45600	U	U	U	U
chr5	45600	45800	U	U	U	U
chr5	45800	46000	U	U	U	U
chr5	46000	46200	U	U	U	U
chr5	46200	46400	U	U	U	U
chr5	46400	46600	U	U	U	U
chr5	46600	46800	U	U	U	U
chr5	47400	47600	U	U	U	U
chr5	48000	48200	U	U	U	U
chr5	49800	50000	U	U	U	U
chr5	50800	51000	U	U	U	U
chr5	51000	51200	U	U	U	U
chr5	51200	51400	U	U	U	U
chr5	51400	51600	U	U	U	U
chr5	51600	51800	U	U	U	U
chr5	51800	52000	U	U	U	U
chr5	52000	52200	U	U	U	U
chr5	53000	53200	U	U	U	U
chr5	53200	53400	B	U	U	U
chr5	54000	54200	B	U	B	U
chr5	54200	54400	B	U	U	U
chr5	54600	54800	U	U	U	U
chr5	54800	55000	U	U	U	U
chr5	55000	55200	U	U	U	U
chr5	55200	55400	U	U	U	U
chr5	55400	55600	U	U	U	U
chr5	55600	55800	U	U	U	U
chr5	55800	56000	U	U	U	U
chr5	56000	56200	U	U	U	U
chr5	56200	56400	U	U	U	U
chr5	57200	57400	B	U	B	U
chr5	57400	57600	U	U	B	U
chr5	57600	57800	U	U	U	U
chr5	57800	58000	U	U	U	U
chr5	58200	58400	U	U	U	U
chr5	58400	58600	U	U	U	U
chr5	58600	58800	U	U	U	U
chr5	58800	59000	U	U	U	U
chr5	59000	59200	U	U	U	U
chr5	71200	71400	U	U	U	U
chr5	71400	71600	U	U	U	U
chr5	71600	71800	U	U	U	U
chr5	71800	72000	U	U	U	U
chr5	72000	72200	U	U	U	U
chr5	72200	72400	U	U	U	U
chr5	72400	72600	U	U	U	U
chr5	74400	74600	U	U	U	U
chr5	75000	75200	U	U	U	U
chr5	75600	75800	U	U	U	U
chr5	76200	76400	U	U	U	U
chr5	76400	76600	U	U	U	U
chr5	76600	76800	U	U	U	U
chr5	76800	77000	U	U	U	U
chr5	77000	77200	U	U	U	U
