chr	start	end	ATAC	CTCF	REST	EP300
chr8	60000	60200	U	U	U	U
chr8	60200	60400	U	U	U	U
chr8	60400	60600	U	U	U	U
chr8	61400	61600	U	U	U	U
chr8	61600	61800	U	U	U	U
chr8	62800	63000	U	U	U	U
chr8	63000	63200	U	U	U	U
chr8	63200	63400	U	U	U	U
chr8	63400	63600	U	U	U	U
chr8	63600	63800	U	U	U	U
chr8	63800	64000	U	U	U	U
chr8	64000	64200	U	U	U	U
chr8	64200	64400	U	U	U	U
chr8	64400	64600	U	U	U	U
chr8	64600	64800	U	U	U	U
chr8	67200	67400	U	U	U	U
chr8	67400	67600	U	U	U	U
chr8	70400	70600	U	U	U	U
chr8	71000	71200	U	U	U	U
chr8	72800	73000	U	U	U	U
chr8	73200	73400	U	U	U	U
chr8	77000	77200	U	U	U	U
chr8	77200	77400	U	U	U	U
chr8	77400	77600	U	U	U	U
chr8	78000	78200	U	U	U	U
chr8	78200	78400	U	U	U	U
chr8	78400	78600	U	U	U	U
chr8	78800	79000	U	U	U	U
chr8	80400	80600	U	U	U	U
chr8	86800	87000	U	U	U	U
chr8	87600	87800	U	U	U	U
chr8	88600	88800	U	U	U	U
chr8	89000	89200	U	U	U	U
chr8	91000	91200	U	U	U	U
chr8	91200	91400	U	U	U	U
chr8	91400	91600	U	U	U	U
chr8	92000	92200	U	U	U	U
chr8	92200	92400	U	U	U	U
chr8	93200	93400	U	U	U	U
chr8	93400	93600	U	U	U	U
chr8	93600	93800	U	U	U	U
chr8	93800	94000	U	U	U	U
chr8	94000	94200	U	U	U	U
chr8	94200	94400	U	U	U	U
chr8	95000	95200	U	U	U	U
chr8	97400	97600	U	U	U	U
chr8	97600	97800	U	U	U	U
chr8	97800	98000	U	U	U	U
chr8	98000	98200	U	U	U	U
chr8	98200	98400	U	U	U	U
chr8	99000	99200	U	U	U	U
chr8	99200	99400	U	U	U	U
chr8	99400	99600	U	U	U	U
chr8	101600	101800	U	U	U	U
chr8	103400	103600	U	U	U	U
chr8	105400	105600	U	U	U	U
chr8	105600	105800	U	U	U	U
chr8	105800	106000	U	U	U	U
chr8	106000	106200	U	U	U	U
chr8	107000	107200	U	U	U	U
chr8	107200	107400	U	U	U	U
chr8	107600	107800	U	U	U	U
chr8	107800	108000	U	U	U	U
chr8	108600	108800	U	U	U	U
chr8	108800	109000	U	U	U	U
chr8	110000	110200	U	U	U	U
chr8	111400	111600	U	U	U	U
chr8	112400	112600	U	U	U	U
chr8	112600	112800	U	U	U	U
chr8	114800	115000	U	U	U	U
chr8	115400	115600	U	U	U	U
chr8	116400	116600	U	U	U	U
chr8	117000	117200	U	U	U	U
chr8	119400	119600	U	U	U	U
chr8	119800	120000	U	U	U	U
chr8	120000	120200	U	U	U	U
chr8	120200	120400	U	U	U	U
