chr	start	end	ATAC
chr10	10800	11000	U
chr10	11400	11600	U
chr10	11600	11800	U
chr10	11800	12000	U
chr10	12000	12200	U
chr10	12200	12400	U
chr10	12400	12600	U
chr10	12600	12800	U
chr10	12800	13000	U
chr10	13000	13200	U
chr10	13200	13400	U
chr10	13400	13600	U
chr10	13600	13800	U
chr10	13800	14000	U
chr10	14000	14200	U
chr10	14200	14400	U
chr10	14400	14600	U
chr10	14800	15000	U
chr10	15800	16000	U
chr10	16000	16200	U
chr10	16200	16400	U
chr10	16400	16600	U
chr10	16600	16800	U
chr10	16800	17000	U
chr10	17000	17200	U
chr10	24600	24800	U
chr10	24800	25000	U
chr10	25000	25200	U
chr10	25200	25400	U
chr10	25400	25600	U
chr10	26600	26800	U
chr10	26800	27000	U
chr10	27000	27200	U
chr10	27200	27400	U
chr10	32000	32200	U
chr10	32200	32400	U
chr10	32400	32600	U
chr10	32600	32800	U
chr10	32800	33000	U
chr10	33000	33200	U
chr10	43000	43200	U
chr10	43200	43400	U
chr10	43400	43600	U
chr10	43600	43800	U
chr10	43800	44000	U
chr10	44000	44200	U
chr10	44200	44400	U
chr10	44400	44600	U
chr10	44800	45000	U
chr10	45000	45200	U
chr10	45200	45400	U
chr10	45600	45800	U
chr10	45800	46000	U
chr10	46000	46200	U
chr10	46200	46400	U
chr10	46400	46600	U
chr10	46600	46800	U
chr10	46800	47000	U
chr10	47200	47400	U
chr10	47400	47600	U
chr10	47600	47800	U
chr10	47800	48000	U
chr10	48000	48200	U
chr10	48200	48400	U
chr10	48400	48600	U
chr10	48600	48800	U
chr10	52000	52200	U
chr10	52600	52800	U
chr10	52800	53000	U
chr10	68600	68800	U
chr10	69400	69600	U
chr10	73000	73200	U
chr10	73800	74000	B
chr10	76200	76400	B
chr10	76400	76600	B
chr10	76600	76800	B
chr10	80000	80200	U
chr10	80200	80400	U
chr10	80400	80600	U
chr10	80600	80800	U
chr10	80800	81000	U
chr10	81000	81200	U
chr10	82000	82200	U
chr10	82200	82400	U
chr10	82400	82600	U
chr10	82600	82800	U
chr10	83200	83400	U
chr10	83400	83600	U
chr10	83600	83800	U
chr10	83800	84000	U
chr10	84600	84800	U
chr10	84800	85000	U
chr10	85000	85200	U
chr10	85200	85400	U
chr10	85400	85600	U
chr10	85600	85800	U
chr10	85800	86000	U
chr10	87200	87400	B
chr10	87400	87600	B
chr10	87600	87800	B
chr10	88000	88200	B
chr10	89400	89600	U
chr10	90200	90400	U
chr10	92800	93000	U
chr10	93000	93200	U
chr10	94000	94200	U
chr10	94200	94400	U
chr10	94400	94600	U
chr10	97800	98000	U
chr10	101800	102000	U
chr10	102400	102600	U
chr10	103400	103600	U
chr10	103600	103800	U
chr10	105600	105800	U
chr10	107400	107600	U
chr10	107800	108000	U
chr10	108000	108200	U
chr10	108200	108400	U
chr10	109800	110000	U
chr10	110000	110200	U
chr10	110200	110400	U
chr10	112200	112400	U
chr10	112400	112600	U
chr10	112600	112800	U
chr10	112800	113000	U
chr10	113000	113200	U
chr10	113200	113400	U
chr10	113400	113600	U
chr10	113600	113800	U
chr10	115600	115800	U
chr10	115800	116000	U
chr10	116000	116200	U
chr10	116200	116400	U
chr10	116400	116600	U
chr10	116600	116800	U
chr10	116800	117000	U
chr10	117000	117200	U
chr10	117200	117400	U
chr10	117400	117600	U
chr10	117600	117800	U
chr10	117800	118000	U
chr10	118200	118400	U
chr10	118400	118600	U
chr10	123400	123600	U
chr10	123800	124000	U
chr10	124000	124200	U
chr10	124600	124800	U
chr10	124800	125000	U
chr10	127400	127600	U
chr10	127600	127800	U
chr10	127800	128000	U
chr10	128400	128600	U
chr10	128800	129000	U
chr10	129400	129600	U
chr10	129600	129800	U
chr10	130200	130400	U
chr10	131200	131400	U
chr10	132400	132600	U
chr10	132600	132800	U
chr10	132800	133000	U
chr10	133000	133200	U
chr10	133200	133400	U
chr10	133400	133600	U
chr10	133600	133800	U
chr10	133800	134000	U
chr10	134400	134600	B
chr10	134600	134800	B
chr10	134800	135000	B
chr10	135000	135200	B
chr10	135200	135400	B
chr10	135400	135600	B
chr10	135600	135800	B
chr10	135800	136000	B
chr10	136000	136200	B
chr10	136200	136400	B
chr10	136400	136600	B
chr10	137200	137400	B
chr10	137400	137600	B
chr10	137600	137800	U
chr10	137800	138000	U
chr10	138600	138800	U
chr10	139200	139400	U
chr10	139400	139600	U
chr10	140200	140400	U
chr10	140400	140600	U
chr10	140600	140800	U
chr10	140800	141000	U
chr10	141000	141200	U
chr10	141200	141400	U
chr10	141600	141800	U
chr10	141800	142000	U
chr10	142800	143000	U
chr10	143000	143200	U
chr10	143200	143400	U
chr10	143400	143600	U
chr10	143600	143800	U
chr10	147600	147800	U
chr10	147800	148000	U
chr10	148000	148200	U
chr10	148600	148800	U
chr10	148800	149000	U
chr10	149600	149800	U
chr10	153000	153200	U
chr10	153400	153600	U
chr10	155600	155800	U
chr10	155800	156000	U
chr10	156400	156600	U
chr10	156600	156800	U
chr10	156800	157000	U
chr10	163800	164000	U
chr10	164800	165000	U
chr10	167400	167600	U
chr10	167600	167800	U
chr10	175600	175800	U
